Nazwa;Kat;N;E;IleSklp;PozMcrz
Z³otów;0;53.359;17.029;1;75
Barlinek;191;53;15.2;1;1
Bia³ogard;122;54.01;15.98;1;2
Brodnica;358;53.26;19.4;2;3
Bytów;62;54.18;17.47;1;4
Che³mno;359;53.35;18.43;1;5
Chodzie¿;253;52.99;16.91;1;6
Chojnice;32;53.7;17.57;2;7
Choszczno;186;53.18;15.4;1;8
Ciechanów;352;52.88;20.62;1;9
Czarnków;227;52.91;16.55;1;10
Czersk;25;53.8;17.97;1;11
Cz³uchów;44;53.67;17.35;1;12
Drawsko Pomorskie;172;53.53;15.8;1;13
Elbl¹g;19;54.18;19.4;2;14
Gniewkowo;342;52.9;18.416;1;15
Gniezno;305;52.53;17.61;2;16
Goleniów;174;53.57;14.82;1;17
Golub-Dobrzyñ;353;53.11;19.04;1;18
Grudzi¹dz;4;53.49;18.75;1;19
Gryfice;163;53.92;15.19;1;20
Gryfino;183;53.23;14.48;1;21
Inowroc³aw;334;52.78;18.25;2;22
Ko³obrzeg;119;54.19;15.57;1;25
Kostrzyn;198;52.59;14.65;1;26
Koœcierzyna;39;54.13;17.97;2;27
Kruszwica;331;52.68;18.3;1;28
Kwidzyn;11;53.74;18.93;1;29
Lêbork;58;54.55;17.75;2;30
Lipno;346;52.84;19.17;1;31
£obez;169;53.64;15.62;1;32
£om¿a;358;53.18;22.07;1;33
Malbork;19;54.04;19.04;1;34
Nidzica;0;53.37;20.43;1;35
Nowogard;171;53.66;15.11;1;36
Nowy Tomyœl;230;52.31;16.12;1;37
Ostro³êka;357;53.09;21.57;1;38
Ostrów Mazowiecka;353;52.8;21.9;1;39
Pi³a;215;53.15;16.74;2;40
Poznañ;262;52.4;16.9;1;41
Przasnysz;355;53.01;20.88;1;42
Pyrzyce;186;53.14;14.88;1;43
Radziejów;334;52.63;18.52;1;44
Rypin;353;53.07;19.41;1;45
Sêpólno Krajeñskie;10;53.45;17.53;1;46
Sierpc;349;52.86;19.65;1;47
S³ubice;202;52.36;14.57;1;48
S³upca;309;52.29;17.88;1;49
S³upsk;91;54.47;17.02;2;50
Stargard Szczeciñski;181;53.34;15.02;3;51
Starogard Gdañski;22;53.97;18.52;2;52
Sulêcin;205;52.45;15.11;1;53
Szamotu³y;240;52.61;16.58;1;54
Szczecinek;134;53.71;16.69;2;55
Œroda Wielkopolska;282;52.22;17.27;1;56
Œwidwin;161;53.77;15.78;2;57
Œwiebodzin;216;52.26;15.53;1;58
Œwiecie;2;53.4;18.44;2;59
Œwinoujœcie;169;53.91;14.25;2;60
Tczew;23;54.1;18.78;2;61
Toruñ;348;53.02;18.61;1;62
Trzcianka;209;53.04;16.46;1;63
Tuchola;16;53.59;17.85;1;65
Wa³cz;189;53.27;16.47;1;67
W¹growiec;288;52.81;17.2;1;68
Wejherowo;46;54.6;18.23;2;69
Witkowo;309;52.44;17.77;1;70
W³oc³awek;341;52.66;19.06;2;71
Wolsztyn;234;52.11;16.11;1;72
Wrzeœnia;274;53.32;17.58;1;73
Z³ocieniec;171;53.53;16;1;74
